Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-44.0,11.0,96.65,-44.0,13.901,98.325,NA,NA,NA
2,Line,-44.0,8.099,98.325,-44.0,11.0,96.65,NA,NA,NA
3,Line,-44.0,8.099,98.325,-44.0,8.099,101.675,NA,NA,NA
4,Line,-44.0,8.099,101.675,-44.0,11.0,103.35,NA,NA,NA
5,Line,-44.0,13.901,101.675,-44.0,11.0,103.35,NA,NA,NA
6,Line,-44.0,13.901,98.325,-44.0,13.901,101.675,NA,NA,NA
7,Line,-44.0,-11.0,103.35,-44.0,-8.099,101.675,NA,NA,NA
8,Line,-44.0,-8.099,98.325,-44.0,-8.099,101.675,NA,NA,NA
9,Line,-44.0,-11.0,96.65,-44.0,-8.099,98.325,NA,NA,NA
10,Line,-44.0,-11.0,96.65,-44.0,-13.901,98.325,NA,NA,NA
11,Line,-44.0,-13.901,98.325,-44.0,-13.901,101.675,NA,NA,NA
12,Line,-44.0,-13.901,101.675,-44.0,-11.0,103.35,NA,NA,NA
