Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,11.0,5.096,43.304,11.0,5.096,45.5,NA,NA,NA
2,Line,11.0,2.551,45.5,11.0,5.096,45.5,NA,NA,NA
3,Line,11.0,-0.0,45.5,11.0,2.551,45.5,NA,NA,NA
4,Line,11.0,-0.0,45.5,11.0,-2.551,45.5,NA,NA,NA
5,Line,11.0,-2.551,45.5,11.0,-5.096,45.5,NA,NA,NA
6,Line,11.0,-5.096,43.304,11.0,-5.096,45.5,NA,NA,NA
7,3_point_arc_1,11.0,-5.096,43.304,11.0,-19.0,25.0,11.0,-5.096,6.696
8,Line,11.0,-5.096,4.5,11.0,-5.096,6.696,NA,NA,NA
9,Line,11.0,-2.551,4.5,11.0,-5.096,4.5,NA,NA,NA
10,Line,11.0,-0.0,4.5,11.0,-2.551,4.5,NA,NA,NA
11,Line,11.0,-0.0,4.5,11.0,2.551,4.5,NA,NA,NA
12,Line,11.0,2.551,4.5,11.0,5.096,4.5,NA,NA,NA
13,Line,11.0,5.096,4.5,11.0,5.096,6.696,NA,NA,NA
14,3_point_arc_2,11.0,5.096,6.696,11.0,19.0,25.0,11.0,5.096,43.304
15,3_point_circle_1,11.0,15.459,7.389,11.0,14.319,9.253,11.0,17.597,9.581
16,3_point_circle_2,11.0,14.875,39.725,11.0,17.624,40.499,11.0,15.54,42.636
17,3_point_circle_3,11.0,-14.319,41.253,11.0,-15.958,39.301,11.0,-17.624,40.499
18,3_point_circle_4,11.0,-14.875,10.275,11.0,-17.624,9.501,11.0,-15.008,7.62
